Composite Score,Keyword,Primary Category,All Categories,JTBD Stage,Avg Monthly Searches (US),Competition,Competition Index,Low Top Page Bid,High Top Page Bid,Client Score,Client Rationale,Persona Score,Persona Rationale,SEO Score,SEO Rationale,Is Brand,Brand Rationale
92,digital payments,Payments,Payments,SOLUTION_EXPLORATION,1900,33,28,3.36,14.89,95,Highly relevant as digital payments are a core offering of Finastra.,90,Highly relevant to the Payments Innovator focused on modernizing payment systems.,90,Excellent SEO opportunity with good volume and low competition,No,
92,payment processing software,Payments,Payments,SOLUTION_EXPLORATION,1600,33,5,13.03,42,95,Highly relevant to company's business as it directly aligns with their payment solutions offerings.,90,Highly relevant to persona because payment processing is a key focus for payment innovators.,90,Excellent SEO opportunity with good volume and low competition,No,
92,banking digital transformation,Universal Banking,Universal Banking,SOLUTION_EXPLORATION,1000,33,2,6.56,19.35,95,Highly relevant to company's business as digital transformation is a core focus of Finastra's strategy and offerings.,90,Highly relevant to persona because it aligns with their goals of modernization and innovation in banking.,90,Excellent SEO opportunity with good volume and low competition,No,
92,banking and digital transformation,Universal Banking,Universal Banking,SOLUTION_EXPLORATION,1000,33,2,6.56,19.35,95,Highly relevant to company's business as digital transformation is a core focus of Finastra's strategy and offerings.,90,Highly relevant to persona because it aligns with their goals of modernization and innovation in banking.,90,Excellent SEO opportunity with good volume and low competition,No,
92,commercial loan origination system,Lending,Lending,SOLUTION_EXPLORATION,320,33,26,6,16.2,95,Highly relevant to company's business as it directly aligns with Finastra's lending solutions.,95,"Highly relevant to persona, particularly the Modern Lending Leader, due to their focus on loan origination.",80,Excellent SEO opportunity with good volume and low competition,No,
92,ai in financial services,Co-innovation,AI in financial services,SOLUTION_EXPLORATION,1600,33,23,7.37,21.72,95,Highly relevant to company's business as AI is a key component of Finastra's technology strategy.,90,Highly relevant to persona because AI is crucial for driving efficiency and innovation in their roles.,90,Excellent SEO opportunity with good volume and low competition,No,
92,software for banks,Reliable,Reliable; secure and trusted financial services software,SOLUTION_EXPLORATION,1300,33,22,4.36,11.78,95,Highly relevant to company's business as Finastra provides comprehensive software solutions for banks.,90,Highly relevant to persona because all personas are involved in selecting and implementing banking software.,90,Excellent SEO opportunity with good volume and low competition,No,
92,banking software for banks,Reliable,Reliable; secure and trusted financial services software,SOLUTION_EXPLORATION,1300,33,22,4.36,11.78,95,Highly relevant to company's business as it encompasses core offerings.,90,Highly relevant to all personas involved in selecting and implementing banking software.,90,Excellent SEO opportunity with good volume and low competition,No,
92,cloud based core banking,Reliable,Reliable; secure and trusted financial services software,SOLUTION_EXPLORATION,110,33,2,0,0,95,Highly relevant to company's business due to their focus on cloud-based banking solutions.,95,"Highly relevant to persona, especially the Digital Banking Architect, for its relevance to banking infrastructure.",80,Excellent SEO opportunity with good volume and low competition,No,
92,cloud based core banking system,Reliable,Reliable; secure and trusted financial services software,SOLUTION_EXPLORATION,110,33,2,0,0,95,Highly relevant to company's business as it supports their cloud-first strategy in banking.,95,"Highly relevant to persona, particularly the Digital Banking Architect, for its relevance to core banking transformation.",80,Excellent SEO opportunity with good volume and low competition,No,
